claim_id,manuscript_section,claim_text_short,claim_type,source_file,source_table_or_figure,source_row_or_metric,status
CLM-037,Observation,"Full C pseudo mismatch includes residual ESR endpoint and charge terms",equation,verification_v21/THEORY_CLOSURE_V21.md,"Section 3 Eqs. C1-C2","expanded algebra with bounded-bias caveat",VERIFIED
CLM-038,Observation,"R_C first-order covariance includes P_rr endpoint-current and charge terms",equation,verification_v21/THEORY_CLOSURE_V21.md,"Eq. C2","frozen compact implementation",VERIFIED
CLM-039,Observation,"Final paper-campaign center k_R=0.97719802594550731 is reproduced and casewise fixed",identifiability_assumption,paper_algorithm_selection_v2/scripts/paper_algorithm_selection_v2_engine.m; paper_algorithm_selection_v2/datasets/generate_frozen_o1_stream.m,"cfg.kRCalibration / cfg.kRSeedAmplitude / obs.hR","exact v2.1 value adopted before blind rerun; not jointly estimated",VERIFIED_EXACT_ADOPTED
CLM-040,Modeling,"ESR remains in physical ohms with 17.5-125 mOhm bounds",parameterization,paper_algorithm_selection_v2/LOCKED_ALGORITHM_SELECTION_HYPERPARAMETERS.csv,"ESR_bounds_pu and Rb=0.05","only inverse C normalized",VERIFIED
CLM-041,Modeling,"Weakest accepted I_C/I_Sigma and q lower bound",theory_numeric,paper_verification_v12/results/tables/table_physical_PE_lower_bound.csv,"minimum I_C_min/I_sum_min","q derived using 2 us proof window",VERIFIED_DERIVED
CLM-042,Protocol,"MAPE and p95 are endpoint blind-row errors",metric_definition,paper_verification_v12/scripts/paper_verification_v12_engine.m,"static campaign endpoint error aggregation","768 rows per estimator cell",VERIFIED_RERUN
CLM-043,Protocol,"Convergence requires 32 consecutive cycles with both errors <=5 percent",metric_definition,paper_verification_v12/scripts/paper_verification_v12_engine.m,"convergenceCycles","no-success rows assigned 1024",VERIFIED
CLM-044,Protocol,"nRMSE and normalized lag match implemented integrals/correlation/crossings",metric_definition,paper_algorithm_selection_v2/scripts/paper_algorithm_selection_v2_engine.m,"normalizedRmse/effectiveLag/crossingTimeDelay","two-sample detected crossing",VERIFIED
CLM-045,Results,"50 ns device-realistic p95 values reported separately by parameter",numeric,paper_algorithm_selection_v2/results/tables/table_algorithm_noise_timing.csv,"Native/F28379D_device_realistic/50 ns","M1 0.4964/0.3385; M2 0.4132/0.6888; M3 0.4211/1.9141",VERIFIED_RERUN
CLM-046,Appendix,"Nonideal switched equations retain ESR with correct state-dependent signs",equation,cuk_cap_health_verification/model/simulate_switched_equation.m,"u=1 and u=0 derivatives","other optional parasitics zeroed",VERIFIED
CLM-047,References,"26 DOI paper records checked against DOI/Crossref/publisher records",bibliography,manuscript_v03/source_traceability/BIBLIOGRAPHY_AUDIT.csv,"all DOI rows","2026-08-23 metadata audit; 3 direct 2025 neighbors added",VERIFIED
CLM-048,Observation,"Online validity is separate from evaluated PE minima",gating,paper_algorithm_selection_v2/datasets/generate_frozen_o1_stream.m,"validC/validR definitions","I_Sigma_gate=0.12 A; no independent numeric q_gate",VERIFIED
CLM-049,Theory,"Evaluated PE minima use eval superscript and never tune online gates",theory_boundary,paper_verification_v12/results/tables/table_physical_PE_lower_bound.csv,"I_C_min/I_sum_min/T_w_min/kR_min","45 evaluated Model-B CCM cases",VERIFIED_INVARIANT
CLM-050,Observation,"Archived k_R simulation calibration pools four profiles and takes median raw/reference ESR ratio",calibration_protocol,verification_v21/covariance/train_v21_covariance.m; calibration_closure/results/table_kR_calibration_summary.csv,"training_cases / calibrate_edge_gain / exact reproduction","588 edges reproduce the adopted 0.97719802594550731 center exactly",VERIFIED_EXACT_ADOPTED
CLM-051,Comparison,"Required sensing burden is stated for each Table I method",comparison_fairness,paper_verification_v1/literature/SOTA_LITERATURE_MATRIX.csv,"required_sensors for L03/L04/L05/L08/L11","unknown exact set stated as not explicitly stated; proposed uses v_T/i1/i2/PWM",VERIFIED
CLM-052,Protocol,"13.21 cycles is internal estimator convergence and 1024 cycles is external health reporting",timing_semantics,paper_algorithm_selection_v2/ALGORITHM_SELECTION_PROTOCOL.md,"convergence metric plus healthFrameCycles","20.48 ms at 50 kHz",VERIFIED_RERUN
CLM-053,Observation,"C and ESR windows use T_w_C=2.0 us and T_w_R=2.2 us",notation,paper_verification_v12/scripts/paper_verification_v12_engine.m; verification_v23/config/v23_default_config.m,"safeWindowS; windowUs","charge proof and device edge-fit windows are distinct",VERIFIED
CLM-054,Implementation,"1.36-us TS-D-RLS arithmetic is separated from the 14-us platform budget",compute_boundary,paper_algorithm_selection_v2/results/tables/table_algorithm_complexity.csv; verification_v23/F28379D_COMPUTE_BUDGET.md,"per-observation time; platform schedule","measured target WCET remains pending",VERIFIED_INVARIANT
CLM-055,References,"Latest-neighbor check added three direct 2025 papers",bibliography,manuscript_v025/source_traceability/BIBLIOGRAPHY_AUDIT.csv,"leong2025boostesr; zhang2025injection; zhang2025largesignal","TPEL/JESTPE/OJPEL metadata checked",VERIFIED
CLM-056,Observation,"Independent rerun exactly reproduces the archived v2.1 k_R lock",reproducibility,calibration_closure/scripts/reproduce_kR_calibration.m; calibration_closure/results/kR_calibration_reproduction.mat,"reproduced and archived values both 0.97719802594550731","absolute error 0 at saved precision",VERIFIED_EXACT
CLM-057,Observation,"The historical 0.982 center was superseded after explicit adoption of the reproducible value",provenance_boundary,recalibrated_campaign/results/table_algorithm_metric_deltas.csv,"old v1/v1.1 versus new v2/v1.2","25 of 66 final-selection cells changed; decision unchanged",VERIFIED_RESOLVED
CLM-058,Observation,"TS-D-RLS and TS-SLTVKE consume the same casewise obs.hR and do not update k_R from blind residuals",comparison_fairness,paper_algorithm_selection_v2/algorithms/run_locked_o1_estimator.m,"M1 and M2 use obs.hR","train/blind separation retained in recalibrated rerun",VERIFIED
CLM-059,Observation,"Calibration reference ESR is planted simulation truth",reference_boundary,cuk_cap_health_verification/model/model_parameters.m; verification_v21/covariance/train_v21_covariance.m,"p.ESR / params{c}.ESR","not an offline or hardware measurement",SIMULATION_REFERENCE_TRUTH
CLM-060,Implementation,"A 35-row frozen TS-D-RLS sensitivity maps +/-1 percent k_R error to approximately inverse ESR bias",sensitivity,calibration_closure/results/table_kR_sensitivity.csv,"five cases x seven deltas","worst absolute endpoint bias 1.170818 percent; no retuning",VERIFIED_SMALL_CHECK
CLM-061,Theory,"With no numeric q_gate low-charge rows are handled by their inherently small h_C=q/C_b information contribution",theory_boundary,paper_algorithm_selection_v2/datasets/generate_frozen_o1_stream.m; manuscript_v03/sections/03_observation_framework.tex,"validC and hC definitions","positive proof guarantee remains restricted to evaluated valid-CCM envelope",VERIFIED
CLM-062,Results,"Recalibrated factorial retains all 4608 rows and 10000 paired bootstrap replicates",reproducibility,paper_verification_v12/logs/audit_paper_verification_v12.txt,"factorial_rows / paired_bootstrap_rows","AUDIT=PASS",VERIFIED_RERUN
CLM-063,Results,"Recalibrated algorithm campaign retains 6/18/162/24 static/abrupt/ramp/transient rows",reproducibility,paper_algorithm_selection_v2/logs/audit_paper_algorithm_selection_v2.txt,"row counts","AUDIT=PASS",VERIFIED_RERUN
CLM-064,Results,"Final estimator decision remains DUAL_REALIZATION",decision,paper_algorithm_selection_v2/results/tables/table_algorithm_final_selection.csv,"final_decision","all rows identical token",VERIFIED_RERUN
CLM-065,Theory,"PE lower-bound numeric fields are unchanged after recalibration",invariance,recalibrated_campaign/results/table_rerun_invariance_checks.csv,"PE_NUMERIC_FIELDS_UNCHANGED","observed=0 changed fields",VERIFIED_INVARIANT
CLM-066,Implementation,"Complexity fields are unchanged after recalibration",invariance,recalibrated_campaign/results/table_rerun_invariance_checks.csv,"COMPLEXITY_FIELDS_UNCHANGED","observed=0 changed fields",VERIFIED_INVARIANT
CLM-067,Results,"All manuscript-facing old/new values were enumerated",traceability,recalibrated_campaign/results/table_manuscript_numeric_updates.csv,"88 rows","changed and unchanged values retained",VERIFIED_RERUN
CLM-068,Observation,"The main manuscript displays k_R=0.9772 while all result generation uses 0.97719802594550731",precision_boundary,manuscript_v03/sections/03_observation_framework.tex; calibration_closure/results/table_kR_calibration_summary.csv,"display versus computation precision","rounding changes presentation only",VERIFIED_DISPLAY_ONLY
CLM-069,Observation,"The +/-0.006 spread is known casewise calibrated measurement-chain variation",comparison_fairness,paper_algorithm_selection_v2/datasets/generate_frozen_o1_stream.m,"kR and hR are formed before the common estimator call","not unobserved calibration uncertainty",VERIFIED_CASE_A
CLM-070,Implementation,"F28379D detail and operating-transient traces moved to supplementary without numeric change",compression_boundary,manuscript_v03/supplementary/SUPPLEMENTARY_NOTE_S1.tex; manuscript_v03/supplementary/SUPPLEMENTARY_NOTE_S3.tex,"main-text compression only","scientific values retained",VERIFIED_NO_SCIENTIFIC_CHANGE
CLM-071,Theory,"Proposition 1 concludes local identifiability over the accepted finite window without a stronger structural-identifiability claim",wording_boundary,manuscript_v031/sections/04_identifiability.tex,"positive finite-window Gramian and local one-to-one parameter map","mathematics unchanged from v0.3",VERIFIED_NO_SCIENTIFIC_CHANGE
CLM-072,Observation,"The +/-0.006 spread is calibrated unit-to-unit variability rather than residual unknown calibration error",comparison_fairness,paper_algorithm_selection_v2/datasets/generate_frozen_o1_stream.m,"realized kR enters the shared hR before estimator calls","Case A wording clarified",VERIFIED_CASE_A
CLM-073,Figures,"Figs. 4--8 are vector redraws from frozen result CSV files",presentation_boundary,manuscript_v031/figures/generate_vector_figures_v031.m,"readtable sources only; no model or estimator invocation","all plotted values are archived outputs",VERIFIED_NO_SCIENTIFIC_CHANGE
CLM-074,Typography,"The Cuk acute accent uses one robust nonbreaking macro in manuscript text and Fig. 1",typography,manuscript_v031/macros.tex; manuscript_v031/figures/fig01_cuk_topology.tex,"mbox with LaTeX acute accent","visual-only correction",VERIFIED_NO_SCIENTIFIC_CHANGE
