id,title,authors,year,venue,DOI_or_URL,converter_topology,capacitor_role,estimated_parameters,required_sensors,external_injection,method,validation,reported_C_error,reported_ESR_error,sampling_requirement,open_code,adaptable_to_Cuk,direct_joint_C_ESR,kalman_class,rls_ls_class,inherent_no_injection,wavelet_reconstruction,Cuk_diagnosis_prognostic,evidence_note
L11,"Optimized Preventive Diagnostic Algorithm for Assessing Aluminum Electrolytic Capacitor Condition Using Discrete Wavelet Transform and Kalman Filter","Amaral; Laadjal; Cardoso",2024,Electronics,10.3390/electronics13163265,Three-phase interleaved boost,Output/DC-link,C and ESR,Converter signals,No,DWT features plus Kalman smoothing,Simulation,NR,NR,Multi-band wavelet window,No,Yes,Yes,Yes,No,Yes,Yes,No,"Kalman filters indicators rather than exact TS-SLTVKE reproduction"
L12,"Capacitor State Monitoring Based on Haar Wavelet Transform and Enhanced Kalman Filter","Authors as publisher record",2025,Electronics,10.3390/electronics14234671,Boost,Output filter,C and ESR,Inductor current; capacitor voltage; PWM recovered,No,Haar current reconstruction plus KF,Simulation/experiment as reported,NR,NR,Switch-resolved sampling,No,Yes,Yes,Yes,No,Yes,Yes,No,"Primary model for Cuk-adapted wavelet-KF comparator"
L13,"Recursive-Least-Squares-Based Real-Time Estimation of Supercapacitor Parameters","Kuperman et al.",2016,IEEE Transactions on Energy Conversion,10.1109/TEC.2016.2521324,Energy storage device,Supercapacitor,C and ESR,Terminal voltage and current,No,RLS,Experiment,NR,NR,Device current sampling,No,Yes,Yes,No,Yes,Yes,No,No,"Generic RC parameter benchmark"
L14,"Online condition monitoring and fault detection of large supercapacitor banks in electric vehicle applications","Naseri et al.",2017,IET Electrical Systems in Transportation,10.1049/iet-est.2017.0013,EV supercapacitor bank,Energy storage,C and ESR,Bank voltage/current,No,Recursive extended least squares,Experiment,NR,NR,Sub-second detection,No,Yes,Yes,No,Yes,Yes,No,No,"RELS handles colored residual dynamics"
L15,"A Recursive Least Squares based Online Condition Monitoring Algorithm for Electrolytic Capacitors of Buck-Boost Converters in Photovoltaic Systems","Wijaya; Zhang; Maskell",2015,International Conference on Power Electronics and Energy Engineering,https://www.researchgate.net/publication/271707480,Buck-boost,Output filter,C and ESR,Output voltage and inductor current,No,RLS polynomial fit,Simulation,Accurate in reported cases,"about 74.1 mOhm for test value",4-8 switching samples,No,Yes,Yes,No,Yes,Yes,No,No,"Classic RLS joint estimator; no DOI found in accessible record"
L16,"Online Inductance and Capacitance Identification Based on Variable Forgetting Factor Recursive Least-Squares Algorithm for Boost Converter","Chen; Min; Tong; Tao; Lyu; Li",2018,MATEC Web of Conferences,10.1051/matecconf/201816001001,Boost,Output filter,L and C,Input/output voltage and inductor current,Yes,VFF-RLS,Experiment,NR,NA,At most 2x switching frequency,No,Yes,No,No,Yes,No,No,No,"Supports RLS tuning/PE discussion; not ESR joint"
L17,"Real-Time Parameter Estimation of DC-DC Converters Using a Self-Tuned Kalman Filter","Ahmeid; Armstrong; Gadoue; Al-Greer; Missailidis",2017,IEEE Transactions on Power Electronics,10.1109/TPEL.2016.2606417,Synchronous buck,Plant model coefficients,Discrete converter parameters,Input/output converter signals,Optional,Self-tuned Kalman parameter estimator,Experiment,NA,NA,Digital-control rate,No,Yes,No,Yes,No,Yes,No,No,"Generic Kalman parameter baseline justification"
L18,"Capacitor Condition Monitoring Based on the DC-Side Start-Up of Modular Multilevel Converters","Wang; Zhang; Wang; Blaabjerg",2020,IEEE Transactions on Power Electronics,10.1109/TPEL.2019.2956808,MMC,Submodule,C,Phase current and submodule voltage,No,RC startup transient analysis,Experiment,NR,NA,Startup transient,No,Limited,No,No,No,Yes,No,No,"Natural transient but not continuous joint estimation"
L19,"Condition Monitoring of DC-Link Electrolytic Capacitors in PWM Power Converters Using OBL Method","Abo-Khalil; Al-Qawasmi; Eltamaly; Yu",2020,Sustainability,10.3390/su12093719,Back-to-back PWM converter,DC-link,C,DC-link voltage/power,Yes,OPSO-SVR,Experiment,"below 0.2%",NA,30 Hz injected cycles,No,Limited,No,No,No,No,No,No,"ML/injection context only"
L20,"Current-sensorless online ESR monitoring of capacitors in boost converter","Tang",2019,The Journal of Engineering,10.1049/joe.2018.8596,Boost,Output filter,ESR,PWM and output voltage,No,Within-cycle closed-form model,Simulation,NA,NR,Two specific switching intervals,No,Yes,No,No,No,Yes,No,No,"ESR-only inherent waveform method"
L21,"Condition Monitoring of Electrolytic Capacitors via ESR Estimation with Recursive Least Squares and Sliding Mode Techniques","Andrade",2018,ICINCO proceedings,https://www.scitepress.org/Papers/2018/68877/,Buck,Output filter,ESR,Capacitor voltage/current,No,Sliding-mode differentiator plus RLS,Simulation,NA,NR,Switching waveform,No,Yes,No,No,Yes,Yes,No,No,"Robust differentiation/RLS comparator context"
L22,"Machine Learning based Parametric Fault Diagnosis of Cuk Converter","Prathiba; Saravanan",2023,ICEMCE,10.1109/ICEMCE57940.2023.10434223,Cuk,Converter components,Fault class,Simulated converter features,No,Feature extraction plus ML classification,Simulation,NA,NA,Scenario windows,No,Context only,No,No,No,No,No,Yes,"Proves Cuk parametric diagnosis is not a blank field"
L23,"Model-Based Sensor Fault Detection and Diagnosis in Closed-Loop Power Converters for Electric Vehicles","Authors as publisher record",2024,IFAC-PapersOnLine,10.1016/j.ifacol.2024.07.245,Cuk,Converter sensors,Sensor bias faults,Converter state measurements,No,State-space LQR plus Kalman residual,Simulation,NA,NA,Control-rate,No,Context only,No,Yes,No,No,No,Yes,"Cuk fault diagnosis but not energy-transfer capacitor health"
L24,"Developing Prognostic Models Using Duality Principles for DC-to-DC Converters","Samie; Motlagh; Alghassi; Perinpanayagam; Kapetanios",2015,IEEE Transactions on Power Electronics,10.1109/TPEL.2014.2376413,Cuk and dual Cuk,Energy storage and switches,RUL/degradation state,Converter state/energy signals,No,Duality-based data-driven and particle-filter prognostics,Simulation/archival data,NA,NA,Run-to-failure sequence,No,Context only,No,Yes,No,No,No,Yes,"Cuk prognostics boundary; not online C/ESR identification"
L25,"Comparisons of Modeling Methods for Fractional-Order Cuk Converter","Wang; Qiu; Wang",2021,Electronics,10.3390/electronics10060710,Cuk,Energy-transfer capacitor,Fractional model parameters,Converter state signals,No,Fractional averaged/switching models,Simulation,NA,NA,Model dependent,No,Context only,No,No,No,No,No,No,"Confirms topology/model notation; not health estimation"
